지역,국가,환자 발생 수,사망
아시아,중국,"84,165","4,634"
아시아,홍콩,"3,002",24
아시아,대만,467,7
아시아,마카오,46,0
아시아,일본,"33,049","1,004"
아시아,싱가포르,"51,531",27
아시아,태국,"3,298",58
아시아,말레이시아,"8,943",124
아시아,베트남,446,0
아시아,인도,"1,531,669","34,193"
아시아,필리핀,"83,673","1,947"
아시아,캄보디아,226,0
아시아,네팔,"19,063",49
아시아,스리랑카,"2,810",11
아시아,아프가니스탄,"36,471","1,271"
아시아,파키스탄,"276,288","5,892"
아시아,인도네시아,"102,051","4,901"
아시아,부탄,99,0
아시아,몰디브,"3,506",15
아시아,방글라데시,"229,185","3,000"
아시아,브루나이,141,2
아시아,몽골,289,0
아시아,카자흐스탄,"86,192",793
아시아,우즈베키스탄,"22,169",129
아시아,키르기스스탄,"34,512","1,347"
아시아,동티모르,24,0
아시아,미얀마,351,6
아시아,라오스,20,0
아시아,타지키스탄,"7,276",60
중동,이란,"298,905","16,343"
중동,바레인,"39,921",142
중동,이집트,"92,947","4,691"
중동,이라크,"118,300","4,603"
중동,요르단,"1,187",11
중동,쿠웨이트,"65,903",444
중동,레바논,"4,023",54
중동,리비아,"3,017",67
중동,모로코,"21,387",327
중동,오만,"78,569",412
중동,카타르,"110,153",169
중동,사우디아라비아,"272,590","2,816"
중동,시리아,694,40
중동,튀니지,"1,488",50
중동,이스라엘,"68,299",491
중동,아랍에미리트,"59,921",347
중동,알제리,"29,615","1,174"
중동,예멘,"1,707",485
아메리카,미국,"4,414,834","150,447"
아메리카,캐나다,"115,470","8,917"
아메리카,멕시코,"408,449","45,361"
아메리카,파나마,"61,442","1,322"
아메리카,온두라스,"39,741","1,166"
아메리카,과테말라,"46,451","1,782"
아메리카,코스타리카,"15,841",115
아메리카,엘살바도르,"15,446",417
아메리카,벨리즈,48,2
아메리카,니카라구아,"3,080",116
아메리카,도미니카공화국,"64,690","1,101"
아메리카,쿠바,"2,555",87
아메리카,자메이카,853,10
아메리카,트리니다드토바고,153,8
아메리카,아이티,"7,340",158
아메리카,바하마,382,11
아메리카,바베이도스,110,7
아메리카,앤티가바부다,86,3
아메리카,그레나다,23,0
아메리카,세인트루시아,24,0
아메리카,세인트빈센트그레나딘,52,0
아메리카,도미니카연방,18,0
아메리카,세인트키츠네비스,17,0
아메리카,브라질,"2,552,265","90,134"
아메리카,페루,"395,005","18,612"
아메리카,에콰도르,"83,193","5,623"
아메리카,칠레,"351,575","9,278"
아메리카,콜롬비아,"257,101","8,777"
아메리카,아르헨티나,"167,416","3,082"
아메리카,볼리비아,"71,181","2,647"
아메리카,우루과이,"1,202",35
아메리카,파라과이,"4,548",43
아메리카,베네수엘라,"15,988",146
아메리카,가이아나,389,20
아메리카,수리남,"1,483",24
유럽,이탈리아,"246,776","35,129"
유럽,독일,"208,546","9,135"
유럽,프랑스,"185,196","30,238"
유럽,영국,"301,455","45,961"
유럽,스페인,"282,641","28,441"
유럽,오스트리아,"20,837",716
유럽,크로아티아,"4,923",140
유럽,핀란드,"7,404",329
유럽,스웨덴,"79,782","5,730"
유럽,스위스,"34,802","1,703"
유럽,벨기에,"66,569","9,833"
유럽,덴마크,"13,577",613
유럽,에스토니아,"2,038",69
유럽,조지아,"1,155",16
유럽,그리스,"4,279",203
유럽,북마케도니아,"10,315",471
유럽,노르웨이,"9,132",255
유럽,루마니아,"48,235","2,269"
유럽,네덜란드,"53,374","6,145"
유럽,벨라루스,"67,518",548
유럽,리투아니아,"2,027",80
유럽,산마리노,716,42
유럽,아제르바이잔,"30,858",430
유럽,아이슬란드,"1,857",10
유럽,모나코,99,1
유럽,룩셈부르크,"6,375",113
유럽,아르메니아,"37,937",723
유럽,아일랜드,"25,942","1,764"
유럽,체코,"15,799",373
유럽,포르투갈,"50,613","1,725"
유럽,라트비아,"1,220",31
유럽,안도라,911,52
유럽,폴란드,"44,416","1,694"
유럽,우크라이나,"67,597","1,650"
유럽,헝가리,"4,465",596
유럽,보스니아 헤르체고비나,"10,747",295
유럽,슬로베니아,"2,101",117
유럽,리히텐슈타인,87,1
유럽,세르비아,"24,520",551
유럽,슬로바키아,"2,204",28
유럽,불가리아,"10,871",355
유럽,몰타,708,9
유럽,몰도바,"23,521",757
유럽,알바니아,"4,997",148
유럽,사이프러스,"1,067",19
유럽,터키,"228,924","5,659"
유럽,몬테네그로,"2,851",43
유럽,코소보,"7,609",182
유럽,러시아,"828,990","13,673"
오세아니아,호주,"15,304",167
오세아니아,뉴질랜드,"1,208",22
오세아니아,피지,27,0
오세아니아,파푸아뉴기니,63,1
아프리카,나이지리아,"41,804",868
아프리카,세네갈,"9,805",198
아프리카,카메룬,"17,179",391
아프리카,남아프리카공화국,"459,761","7,257"
아프리카,토고,874,18
아프리카,부르키나파소,"1,105",53
아프리카,DR콩고,"8,872",207
아프리카,코트디부아르,"15,713",98
아프리카,수단,"11,496",725
아프리카,에티오피아,"15,200",239
아프리카,가봉,"7,189",49
아프리카,가나,"34,406",168
아프리카,기니,"7,126",46
아프리카,케냐,"18,581",299
아프리카,나미비아,"1,917",8
아프리카,중앙아프리카공화국,"4,599",59
아프리카,콩고,"3,200",54
아프리카,적도기니,"2,350",41
아프리카,에스와티니,"2,404",39
아프리카,모리타니아,"6,249",156
아프리카,르완다,"1,926",5
아프리카,세이쉘,107,0
아프리카,베냉,"1,805",36
아프리카,라이베리아,"1,167",72
아프리카,탄자니아,509,21
아프리카,지부티,"5,081",58
아프리카,감비아,326,8
아프리카,잠비아,"5,002",142
아프리카,모리셔스,344,10
아프리카,차드,926,75
아프리카,니제르,"1,132",69
아프리카,카보베르데,"2,354",22
아프리카,짐바브웨,"2,817",40
아프리카,소말리아,"3,212",93
아프리카,마다가스카르,"10,104",93
아프리카,앙골라,"1,000",47
아프리카,에리트레아,263,0
아프리카,우간다,"1,135",2
아프리카,모잠비크,"1,720",11
아프리카,기니비사우,"1,954",26
아프리카,말리,"2,520",124
아프리카,보츠와나,739,2
아프리카,브룬디,378,1
아프리카,시에라리온,"1,786",66
아프리카,말라위,"3,738",103
아프리카,남수단,"2,322",46
아프리카,상투메프린시페,867,14
아프리카,코모로,378,7
아프리카,레소토,505,12
기타,기타지역 영토,"45,657",536
,합계,"16,864,828","663,580"
