지역,국가,환자 발생 수,사망
아시아,중국,"84,337","4,634"
아시아,홍콩,"3,272",27
아시아,대만,467,7
아시아,마카오,46,0
아시아,일본,"35,836","1,011"
아시아,싱가포르,"52,205",27
아시아,태국,"3,310",58
아시아,말레이시아,"8,964",124
아시아,베트남,509,0
아시아,인도,"1,638,870","35,747"
아시아,필리핀,"89,374","1,983"
아시아,캄보디아,226,0
아시아,네팔,"19,547",52
아시아,스리랑카,"2,814",11
아시아,아프가니스탄,"36,675","1,272"
아시아,파키스탄,"278,305","5,951"
아시아,인도네시아,"106,336","5,058"
아시아,부탄,101,0
아시아,몰디브,"3,719",16
아시아,방글라데시,"234,889","3,083"
아시아,브루나이,141,2
아시아,몽골,291,0
아시아,카자흐스탄,"89,078",793
아시아,우즈베키스탄,"23,558",137
아시아,키르기스스탄,"35,805","1,378"
아시아,동티모르,24,0
아시아,미얀마,353,6
아시아,라오스,20,0
아시아,타지키스탄,"7,366",60
중동,이란,"304,204","16,766"
중동,바레인,"40,755",147
중동,이집트,"93,757","4,774"
중동,이라크,"124,609","4,741"
중동,요르단,"1,193",11
중동,쿠웨이트,"66,957",447
중동,레바논,"4,334",57
중동,리비아,"3,222",71
중동,모로코,"23,259",346
중동,오만,"79,159",421
중동,카타르,"110,695",174
중동,사우디아라비아,"275,905","2,866"
중동,시리아,738,41
중동,튀니지,"1,514",50
중동,이스라엘,"70,970",512
중동,아랍에미리트,"60,506",351
중동,알제리,"29,831","1,200"
중동,예멘,"1,730",488
아메리카,미국,"4,556,232","153,268"
아메리카,캐나다,"116,312","8,935"
아메리카,멕시코,"424,637","46,688"
아메리카,파나마,"63,269","1,374"
아메리카,온두라스,"40,944","1,259"
아메리카,과테말라,"48,826","1,867"
아메리카,코스타리카,"16,800",133
아메리카,엘살바도르,"16,230",439
아메리카,벨리즈,48,2
아메리카,니카라구아,"3,080",116
아메리카,도미니카공화국,"67,915","1,146"
아메리카,쿠바,"2,597",87
아메리카,자메이카,856,10
아메리카,트리니다드토바고,157,8
아메리카,아이티,"7,378",159
아메리카,바하마,484,11
아메리카,바베이도스,110,7
아메리카,앤티가바부다,91,3
아메리카,그레나다,24,0
아메리카,세인트루시아,25,0
아메리카,세인트빈센트그레나딘,52,0
아메리카,도미니카연방,18,0
아메리카,세인트키츠네비스,17,0
아메리카,브라질,"2,662,485","92,475"
아메리카,페루,"407,492","19,021"
아메리카,에콰도르,"85,355","5,702"
아메리카,칠레,"355,667","9,457"
아메리카,콜롬비아,"276,055","9,454"
아메리카,아르헨티나,"178,996","3,311"
아메리카,볼리비아,"73,534","2,808"
아메리카,우루과이,"1,237",35
아메리카,파라과이,"4,866",46
아메리카,베네수엘라,"17,159",154
아메리카,가이아나,398,20
아메리카,수리남,"1,607",26
유럽,이탈리아,"247,537","35,141"
유럽,독일,"210,399","9,147"
유럽,프랑스,"187,919","30,265"
유럽,영국,"303,181","46,119"
유럽,스페인,"288,522","28,445"
유럽,오스트리아,"21,083",718
유럽,크로아티아,"5,071",144
유럽,핀란드,"7,423",329
유럽,스웨덴,"80,422","5,743"
유럽,스위스,"35,242","1,705"
유럽,벨기에,"66,569","9,833"
유럽,덴마크,"13,725",615
유럽,에스토니아,"2,051",69
유럽,조지아,"1,168",17
유럽,그리스,"4,401",203
유럽,북마케도니아,"10,617",480
유럽,노르웨이,"9,172",255
유럽,루마니아,"50,886","2,343"
유럽,네덜란드,"53,963","6,147"
유럽,벨라루스,"67,808",559
유럽,리투아니아,"2,062",80
유럽,산마리노,716,42
유럽,아제르바이잔,"31,560",441
유럽,아이슬란드,"1,872",10
유럽,모나코,99,1
유럽,룩셈부르크,"6,616",114
유럽,아르메니아,"38,550",738
유럽,아일랜드,"26,065","1,763"
유럽,체코,"16,342",379
유럽,포르투갈,"51,072","1,735"
유럽,라트비아,"1,228",31
유럽,안도라,922,52
유럽,폴란드,"45,688","1,716"
유럽,우크라이나,"69,884","1,693"
유럽,헝가리,"4,505",596
유럽,보스니아 헤르체고비나,"11,442",324
유럽,슬로베니아,"2,139",117
유럽,리히텐슈타인,89,1
유럽,세르비아,"25,213",565
유럽,슬로바키아,"2,265",28
유럽,불가리아,"11,420",374
유럽,몰타,814,9
유럽,몰도바,"24,343",771
유럽,알바니아,"5,197",154
유럽,사이프러스,"1,084",19
유럽,터키,"230,873","5,691"
유럽,몬테네그로,"3,111",48
유럽,코소보,"8,061",202
유럽,러시아,"839,981","13,963"
오세아니아,호주,"16,303",189
오세아니아,뉴질랜드,"1,209",22
오세아니아,피지,27,0
오세아니아,파푸아뉴기니,63,2
아프리카,나이지리아,"42,689",878
아프리카,세네갈,"10,106",204
아프리카,카메룬,"17,255",391
아프리카,남아프리카공화국,"482,169","7,812"
아프리카,토고,908,18
아프리카,부르키나파소,"1,117",53
아프리카,DR콩고,"9,009",214
아프리카,코트디부아르,"15,978",100
아프리카,수단,"11,496",725
아프리카,에티오피아,"16,615",263
아프리카,가봉,"7,352",49
아프리카,가나,"35,142",175
아프리카,기니,"7,242",46
아프리카,케냐,"19,913",325
아프리카,나미비아,"2,052",10
아프리카,중앙아프리카공화국,"4,605",59
아프리카,콩고,"3,376",56
아프리카,적도기니,"2,350",41
아프리카,에스와티니,"2,577",40
아프리카,모리타니아,"6,270",156
아프리카,르완다,"1,994",5
아프리카,세이쉘,107,0
아프리카,베냉,"1,805",36
아프리카,라이베리아,"1,181",73
아프리카,탄자니아,509,21
아프리카,지부티,"5,081",58
아프리카,감비아,403,8
아프리카,잠비아,"5,555",149
아프리카,모리셔스,344,10
아프리카,차드,935,75
아프리카,니제르,"1,134",69
아프리카,카보베르데,"2,418",23
아프리카,짐바브웨,"3,092",53
아프리카,소말리아,"3,212",93
아프리카,마다가스카르,"10,748",105
아프리카,앙골라,"1,109",51
아프리카,에리트레아,279,0
아프리카,우간다,"1,147",2
아프리카,모잠비크,"1,808",11
아프리카,기니비사우,"1,981",26
아프리카,말리,"2,522",124
아프리카,보츠와나,804,2
아프리카,브룬디,387,1
아프리카,시에라리온,"1,818",67
아프리카,말라위,"3,981",109
아프리카,남수단,"2,322",46
아프리카,상투메프린시페,870,15
아프리카,코모로,382,7
아프리카,레소토,604,13
기타,기타지역 영토,"47,436",546
,합계,"17,432,892","676,481"
